Player,Nation,Position,Age,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals Made,Penalty Attempts,Yellow Cards,Red Cards,xG,npxG,xAG,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Receives,Goals Per 90,Assists Per 90,Goals + Assists Per 90,Non-Penalty Goals Per 90,Non-Penalty Goals + Assists Per 90,xG Per 90,xAG Per 90,xG + xAG Per 90,npxG Per 90,npxG + xAG Per 90,name_clean,position,foot,height_in_cm,current_club_domestic_competition_id,market_value_in_eur,highest_market_value_in_eur,image_url,url,match_name,fifa_name,fifa_full_name,fifa_birth_date,fifa_age,fifa_height_cm,fifa_weight_kgs,fifa_positions,fifa_nationality,fifa_overall_rating,fifa_potential,fifa_value_euro,fifa_wage_euro,fifa_preferred_foot,fifa_international_reputation(1-5),fifa_weak_foot(1-5),fifa_skill_moves(1-5),fifa_body_type,fifa_release_clause_euro,fifa_national_team,fifa_national_rating,fifa_national_team_position,fifa_national_jersey_number,fifa_crossing,fifa_finishing,fifa_heading_accuracy,fifa_short_passing,fifa_volleys,fifa_dribbling,fifa_curve,fifa_freekick_accuracy,fifa_long_passing,fifa_ball_control,fifa_acceleration,fifa_sprint_speed,fifa_agility,fifa_reactions,fifa_balance,fifa_shot_power,fifa_jumping,fifa_stamina,fifa_strength,fifa_long_shots,fifa_aggression,fifa_interceptions,fifa_positioning,fifa_vision,fifa_penalties,fifa_composure,fifa_marking,fifa_standing_tackle,fifa_sliding_tackle,fifa_match_fullname,fuzzy_match_score
Jan Bednarek,POL,DF,28,30,30,"2,531",28.1,2,0,2,2,0,0,7,0,0.7,0.7,0.5,1.2,5,60,2,0.07,0.0,0.07,0.07,0.07,0.02,0.02,0.04,0.02,0.04,jan bednarek,Defender,right,189.0,GB1,11000000.0,25000000.0,https://img.a.transfermarkt.technology/portrait/header/243028-1709158468.jpg?lm=1,https://www.transfermarkt.co.uk/jan-bednarek/profil/spieler/243028,jan bednarek,J. Bednarek,Jan Bednarek,4/12/1996,22,187.96,77.1,CB,Poland,72,81,4200000.0,25000.0,Right,1,3,2,Lean,8700000.0,Poland,77.0,LCB,5.0,44,19,73,67,20,50,23,26,47,55,57,68,56,65,61,25,72,68,77,23,67,66,26,52,32,59,73,75,70,jan bednarek,100
Flynn Downes,ENG,MT,25,27,25,"2,151",23.9,1,0,1,1,0,0,12,0,0.6,0.6,1.1,1.7,29,66,29,0.04,0.0,0.04,0.04,0.04,0.03,0.05,0.07,0.03,0.07,flynn downes,Midfield,right,178.0,GB1,15000000.0,15000000.0,https://img.a.transfermarkt.technology/portrait/header/506189-1659355597.jpg?lm=1,https://www.transfermarkt.co.uk/flynn-downes/profil/spieler/506189,flynn downes,F. Downes,Flynn Downes,1/20/1999,20,172.72,69.9,CM,England,64,80,950000.0,1000.0,Right,1,3,2,Lean,2400000.0,,,,,61,44,58,66,32,57,49,55,64,66,68,67,66,63,76,54,65,72,63,56,82,68,56,56,48,63,59,67,66,flynn downes,100
Joe Aribo,NGA,"MT,DF",28,32,21,"2,013",22.4,3,0,3,3,0,0,1,0,2.7,2.7,1.6,4.3,36,75,65,0.13,0.0,0.13,0.13,0.13,0.12,0.07,0.19,0.12,0.19,joe aribo,Midfield,left,183.0,GB1,6000000.0,15000000.0,https://img.a.transfermarkt.technology/portrait/header/468198-1656428996.png?lm=1,https://www.transfermarkt.co.uk/joe-aribo/profil/spieler/468198,joe aribo,J. Aribo,Joe Aribo,7/21/1996,22,182.88,76.2,"CM,CAM",England,66,77,1100000.0,3000.0,Left,1,3,3,Lean,2100000.0,,,,,53,55,51,73,40,68,63,59,69,69,79,85,81,60,66,56,58,57,67,40,54,51,66,69,45,63,64,60,58,joe aribo,100
Jack Stephens,ENG,DF,30,19,17,"1,389",15.4,1,0,1,1,0,0,2,2,0.6,0.6,0.2,0.7,14,63,2,0.06,0.0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,jack stephens,Defender,right,185.0,GB1,2000000.0,8000000.0,https://img.a.transfermarkt.technology/portrait/header/163744-1720190433.jpg?lm=1,https://www.transfermarkt.co.uk/jack-stephens/profil/spieler/163744,jack stephens,J. Stephens,Jack Stephens,1/27/1994,25,185.42,74.8,CB,England,74,80,6500000.0,30000.0,Right,1,3,2,Lean,13700000.0,,,,,47,36,75,72,34,66,55,58,59,72,61,60,63,73,58,55,63,72,75,42,68,75,47,44,42,65,68,77,74,jack stephens,100
James Bree,ENG,DF,26,17,13,"1,075",11.9,0,1,1,0,0,0,0,0,0.1,0.1,0.9,1.0,13,34,43,0.0,0.08,0.08,0.0,0.08,0.01,0.08,0.08,0.01,0.08,james bree,Defender,right,178.0,GB1,2500000.0,3000000.0,https://img.a.transfermarkt.technology/portrait/header/324223-1720190887.jpg?lm=1,https://www.transfermarkt.co.uk/james-bree/profil/spieler/324223,james bree,J. Bree,James Bree,12/11/1997,21,152.4,73.9,RB,England,65,78,925000.0,3000.0,Right,1,2,2,Lean,,,,,,63,38,55,62,36,60,40,33,55,61,70,69,65,65,61,54,61,66,67,32,54,60,39,55,43,50,64,66,62,james bree,100
Paul Onuachu,NGA,AT,30,25,11,"1,050",11.7,4,1,5,4,0,0,4,0,3.6,3.6,0.5,4.1,7,13,40,0.34,0.09,0.43,0.34,0.43,0.31,0.04,0.35,0.31,0.35,paul onuachu,Attack,right,201.0,GB1,8000000.0,22000000.0,https://img.a.transfermarkt.technology/portrait/header/272855-1695672883.png?lm=1,https://www.transfermarkt.co.uk/paul-onuachu/profil/spieler/272855,paul onuachu,P. Onuachu,Paul Ebere Onuachu,5/28/1994,24,200.66,83.9,ST,Nigeria,71,78,3400000.0,14000.0,Right,1,2,3,Lean,5100000.0,,,,,41,71,74,68,51,72,54,30,62,70,68,77,46,71,46,58,38,72,82,55,60,41,72,68,60,68,33,48,36,paul ebere onuachu,86
Welington,BRA,DF,23,10,6,482,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,11,19,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,welington,Defender,left,170.0,GB1,3500000.0,4000000.0,https://img.a.transfermarkt.technology/portrait/header/729264-1625147299.jpg?lm=1,https://www.transfermarkt.co.uk/welington/profil/spieler/729264,welington,Wellington,Wellington Luís de Sousa,2/11/1988,31,185.42,88.9,ST,Brazil,67,67,725000.0,3000.0,Right,1,4,3,Normal,943000.0,,,,,47,69,72,59,62,59,52,43,34,56,58,58,56,66,34,70,59,56,90,58,74,24,65,59,62,70,31,40,24,wellington luís de sousa,95
Alex McCarthy,ENG,GB,34,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alex mccarthy,Goalkeeper,right,193.0,GB1,500000.0,6500000.0,https://img.a.transfermarkt.technology/portrait/header/95976-1737919833.jpg?lm=1,https://www.transfermarkt.co.uk/alex-mccarthy/profil/spieler/95976,alex mccarthy,A. McCarthy,Alex McCarthy,12/3/1989,29,193.04,78.9,GK,England,77,78,7000000.0,37000.0,Right,1,2,1,Lean,13800000.0,,,,,11,17,16,33,12,17,15,18,35,17,58,56,35,69,43,20,68,35,63,14,35,22,16,50,41,61,13,13,12,alex mccarthy,100
Adam Lallana,ENG,MT,36,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.0,0.5,0.5,0.0,0.5,0.04,0.23,0.27,0.04,0.27,adam lallana,Midfield,both,172.0,GB1,900000.0,25000000.0,https://img.a.transfermarkt.technology/portrait/header/43530-1662663337.jpg?lm=1,https://www.transfermarkt.co.uk/adam-lallana/profil/spieler/43530,adam lallana,A. Lallana,Adam David Lallana,5/10/1988,30,152.4,73.0,CM,England,79,79,11500000.0,105000.0,Right,3,5,4,Lean,21300000.0,,,,,74,71,67,83,72,83,77,66,75,84,70,68,78,74,75,72,70,75,62,71,76,63,74,82,70,80,61,62,62,adam david lallana,86
Ross Stewart,SCO,AT,28,12,4,389,4.3,1,0,1,1,0,0,1,0,1.1,1.1,0.0,1.1,3,2,10,0.23,0.0,0.23,0.23,0.23,0.25,0.0,0.25,0.25,0.25,ross stewart,Attack,right,188.0,GB1,4500000.0,4500000.0,https://img.a.transfermarkt.technology/portrait/header/447995-1645779367.jpg?lm=1,https://www.transfermarkt.co.uk/ross-stewart/profil/spieler/447995,ross stewart,R. Stewart,Ross Stewart,4/16/1995,23,187.96,71.2,GK,Scotland,53,61,70000.0,1000.0,Right,1,2,1,Normal,137000.0,,,,,16,15,20,29,17,14,19,16,23,23,41,47,54,49,56,19,55,20,62,19,42,22,14,19,25,35,16,14,17,ross stewart,100
