Unnamed: 0,Player,Nation,Position,Age,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals Made,Penalty Attempts,Yellow Cards,Red Cards,xG,npxG,xAG,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Receives,Goals Per 90,Assists Per 90,Goals + Assists Per 90,Non-Penalty Goals Per 90,Non-Penalty Goals + Assists Per 90,xG Per 90,xAG Per 90,xG + xAG Per 90,npxG Per 90,npxG + xAG Per 90,name_clean,position,foot,height_in_cm,current_club_domestic_competition_id,market_value_in_eur,highest_market_value_in_eur,image_url,url
1202,Pablo Marí,ESP,DF,30,13,12,"1,098",12.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,27,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,pablo mari,Defender,left,193.0,IT1,3500000.0,7000000.0,https://img.a.transfermarkt.technology/portrait/header/210178-1739282325.jpg?lm=1,https://www.transfermarkt.co.uk/pablo-mari/profil/spieler/210178
1203,Edoardo Bove,ITA,"MT,AT",22,12,11,851,9.5,1,2,3,1,0,0,3,0,0.6,0.6,1.5,2.1,12,37,24,0.11,0.21,0.32,0.11,0.32,0.06,0.16,0.22,0.06,0.22,edoardo bove,Midfield,right,181.0,IT1,5000000.0,18000000.0,https://img.a.transfermarkt.technology/portrait/header/562049-1725532201.jpg?lm=1,https://www.transfermarkt.co.uk/edoardo-bove/profil/spieler/562049
1204,Amir Richardson,MAR,MT,22,27,10,"1,099",12.2,1,1,2,1,0,0,6,0,0.9,0.9,0.6,1.5,19,47,31,0.08,0.08,0.16,0.08,0.16,0.07,0.05,0.12,0.07,0.12,amir richardson,Midfield,left,197.0,IT1,9000000.0,9000000.0,https://img.a.transfermarkt.technology/portrait/header/893675-1725529481.jpg?lm=1,https://www.transfermarkt.co.uk/amir-richardson/profil/spieler/893675
1205,Nicolò Fagioli,ITA,MT,23,15,10,962,10.7,1,2,3,1,0,0,0,0,0.5,0.5,3.0,3.5,15,50,19,0.09,0.19,0.28,0.09,0.28,0.05,0.28,0.32,0.05,0.32,nicolo fagioli,Midfield,right,178.0,IT1,18000000.0,35000000.0,https://img.a.transfermarkt.technology/portrait/header/432090-1695025310.jpg?lm=1,https://www.transfermarkt.co.uk/nicolo-fagioli/profil/spieler/432090
1206,Cristiano Biraghi,ITA,DF,31,8,5,433,4.8,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,3,15,17,0.21,0.0,0.21,0.21,0.21,0.03,0.06,0.1,0.03,0.1,cristiano biraghi,Defender,left,185.0,IT1,2000000.0,12000000.0,https://img.a.transfermarkt.technology/portrait/header/124555-1724827712.jpg?lm=1,https://www.transfermarkt.co.uk/cristiano-biraghi/profil/spieler/124555
1207,Cher Ndour,ITA,"MT,DF",20,9,4,406,4.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,12,17,26,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,cher ndour,Midfield,both,190.0,IT1,5000000.0,5000000.0,https://img.a.transfermarkt.technology/portrait/header/651005-1727356126.png?lm=1,https://www.transfermarkt.co.uk/cher-ndour/profil/spieler/651005
1208,Lucas Martínez Quarta,ARG,DF,28,8,4,351,3.9,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.7,3,14,2,0.26,0.0,0.26,0.26,0.26,0.19,0.01,0.19,0.19,0.19,lucas martinez quarta,Defender,right,183.0,IT1,15000000.0,15000000.0,https://img.a.transfermarkt.technology/portrait/header/373373-1663591880.jpg?lm=1,https://www.transfermarkt.co.uk/lucas-martinez-quarta/profil/spieler/373373
1209,Nicolò Zaniolo,ITA,AT,25,9,4,343,3.8,0,0,0,0,0,0,2,1,0.7,0.6,0.2,0.9,8,5,20,0.0,0.0,0.0,0.0,0.0,0.16,0.06,0.22,0.15,0.21,nicolo zaniolo,Midfield,left,190.0,IT1,16000000.0,55000000.0,https://img.a.transfermarkt.technology/portrait/header/392085-1713472570.jpg?lm=1,https://www.transfermarkt.co.uk/nicolo-zaniolo/profil/spieler/392085
1210,Pietro Terracciano,ITA,GB,34,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pietro terracciano,Goalkeeper,right,193.0,IT1,1500000.0,2500000.0,https://img.a.transfermarkt.technology/portrait/header/96254-1595853091.jpg?lm=1,https://www.transfermarkt.co.uk/pietro-terracciano/profil/spieler/96254
1211,Sofyan Amrabat,MAR,MT,27,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,sofyan amrabat,Midfield,right,185.0,TR1,20000000.0,30000000.0,https://img.a.transfermarkt.technology/portrait/header/287579-1728392547.jpg?lm=1,https://www.transfermarkt.co.uk/sofyan-amrabat/profil/spieler/287579
