Age,Min,Gls,Ast,npxG,xAG,Sh,SoT,Cmp,Att,KP,PPA,CrsPA,PrgP,Touches,PrgC,Succ,Dis,Rec,Tkl,Int,Blocks,Clr,Recov,Won,CrdY,CrdR,Fls,Fld,Off,Crs,value,days_missed,games_missed,height,Club_Rank,Country_Rank,Pos_FW,Pos_MF,foot_left,foot_right
26.0,2974.0,12.0,4.0,7.7,3.0,66.0,19.0,521.0,678.0,22.0,15.0,4.0,75.0,985.0,73.0,21.0,33.0,703.0,22.0,5.0,19.0,19.0,105.0,9.0,8.0,0.0,22.0,4.0,4.0,27.0,10000000.0,51.0,4.0,177.0,80,3,False,True,False,True
23.0,2974.0,3.0,1.0,2.9,1.2,35.0,7.0,1380.0,1623.0,23.0,24.0,1.0,165.0,1998.0,59.0,30.0,51.0,1335.0,116.0,25.0,24.0,33.0,200.0,11.0,11.0,1.0,70.0,2.0,3.0,29.0,40000000.0,0.0,0.0,176.0,119,5,False,True,False,True
28.0,2973.0,13.0,8.0,7.8,6.8,86.0,36.0,584.0,815.0,51.0,46.0,8.0,91.0,1252.0,109.0,44.0,77.0,834.0,41.0,16.0,44.0,25.0,129.0,12.0,1.0,0.0,20.0,9.0,6.0,106.0,40000000.0,47.0,8.0,176.0,55,4,True,False,True,False
24.0,2972.0,3.0,0.0,1.8,0.0,16.0,5.0,1189.0,1407.0,1.0,4.0,2.0,71.0,1845.0,11.0,4.0,1.0,1155.0,51.0,34.0,8.0,224.0,74.0,71.0,9.0,0.0,37.0,1.0,5.0,6.0,7500000.0,42.0,8.0,191.0,80,9,False,False,False,True
28.0,2971.0,1.0,0.0,1.7,0.9,38.0,10.0,724.0,1106.0,11.0,15.0,2.0,112.0,1585.0,25.0,18.0,9.0,658.0,43.0,40.0,14.0,241.0,115.0,101.0,8.0,0.0,33.0,1.0,13.0,6.0,8000000.0,14.0,2.0,188.0,109,53,False,False,True,False
28.0,2970.0,3.0,0.0,1.1,0.4,24.0,7.0,2145.0,2309.0,4.0,6.0,3.0,169.0,2626.0,15.0,3.0,10.0,1888.0,19.0,36.0,7.0,157.0,165.0,77.0,3.0,0.0,16.0,1.0,3.0,6.0,30000000.0,3.0,1.0,195.0,4,10,False,False,False,True
30.0,2970.0,0.0,0.0,0.9,0.5,11.0,4.0,1520.0,1755.0,9.0,8.0,1.0,142.0,2096.0,30.0,8.0,9.0,1305.0,36.0,31.0,11.0,170.0,129.0,47.0,1.0,0.0,13.0,1.0,4.0,8.0,1500000.0,0.0,0.0,189.0,563,10,False,False,False,True
23.0,2966.0,5.0,4.0,3.5,2.9,47.0,15.0,924.0,1128.0,41.0,36.0,5.0,163.0,1432.0,74.0,49.0,55.0,1038.0,35.0,20.0,30.0,10.0,164.0,18.0,8.0,0.0,28.0,4.0,7.0,29.0,15000000.0,48.0,5.0,177.0,131,3,False,True,False,True
25.0,2963.0,1.0,0.0,2.0,0.6,19.0,6.0,1432.0,1712.0,12.0,8.0,2.0,98.0,2083.0,22.0,2.0,2.0,1339.0,43.0,38.0,6.0,182.0,101.0,109.0,13.0,1.0,49.0,0.0,4.0,3.0,18000000.0,115.0,17.0,190.0,128,55,False,False,False,True
25.0,2962.0,2.0,1.0,2.6,1.1,24.0,6.0,1482.0,1772.0,19.0,23.0,1.0,195.0,2131.0,38.0,19.0,17.0,1412.0,73.0,44.0,24.0,79.0,140.0,53.0,6.0,0.0,44.0,1.0,7.0,12.0,60000000.0,41.0,7.0,181.0,25,3,False,True,False,True
33.0,2959.0,20.0,3.0,11.0,2.6,65.0,32.0,315.0,490.0,22.0,12.0,1.0,42.0,770.0,14.0,4.0,28.0,563.0,6.0,5.0,7.0,29.0,50.0,94.0,1.0,0.0,25.0,0.0,5.0,1.0,10000000.0,53.0,11.0,191.0,40,95,True,False,False,True
24.0,2958.0,1.0,1.0,1.3,1.5,17.0,5.0,2016.0,2286.0,15.0,17.0,4.0,228.0,2589.0,55.0,5.0,7.0,1820.0,45.0,24.0,7.0,142.0,131.0,82.0,8.0,1.0,25.0,1.0,2.0,11.0,32000000.0,70.0,11.0,189.0,58,7,False,False,False,True
30.0,2957.0,3.0,0.0,2.3,1.2,31.0,7.0,1026.0,1363.0,10.0,5.0,0.0,109.0,1706.0,10.0,6.0,23.0,981.0,74.0,45.0,10.0,70.0,172.0,159.0,10.0,0.0,75.0,1.0,6.0,1.0,3000000.0,0.0,0.0,190.0,131,3,False,True,False,True
33.0,2952.0,21.0,4.0,12.3,1.7,91.0,29.0,239.0,426.0,16.0,7.0,0.0,24.0,788.0,23.0,10.0,44.0,540.0,20.0,2.0,9.0,26.0,54.0,136.0,4.0,0.0,47.0,9.0,3.0,6.0,5000000.0,28.0,4.0,190.0,131,13,True,False,True,False
